rasp1,rasp2,rasp3,rasp4,rasp5,rasp6,mac_address
-54.92272186279297,-51.955055236816406,-48.26958084106445,-61.38833427429199,-61.84420204162598,-64.11970901489258,"AC:72:89:1C:16:F0"
-72,-63.66669845581055,-69.72000122070312,-66.75469970703125,-64.08000183105469,-62.657100677490234,"BC:F5:AC:F8:73:69"
-58.34450149536133,-61.536598205566406,-57.75,-66.0270004272461,-58.61220169067383,-59.945899963378906,"C4:43:8F:B3:0A:F7_lg_p1"
-27.962600708007812,-58.804901123046875,-63.42570114135742,-69.22029876708984,-70.61289978027344,-73.72730255126953,"C4:43:8F:B3:0A:F7_lg_p5"
-69.03700256347656,-62.43479919433594,-67,-62.375,-72.28569793701172,-77,"D0:13:FD:64:B7:2F"
-57.843299865722656,-49.83100128173828,-54.215301513671875,-57.480899810791016,-62.220001220703125,-59.277801513671875,"D2:15:7F:1C:13:7E"
-47.21039962768555,-51.98649978637695,-46.139198303222656,-57.86920166015625,-57.426998138427734,-58.614498138427734,"D8:90:E8:29:AD:3F_sams_p1"
-58.20349884033203,-60.67720031738281,-56.958099365234375,-55.449100494384766,-51.79159927368164,-53.80820083618164,"D8:90:E8:29:AD:3F_sams_p10"
-57.00579833984375,-55.206199645996094,-33.345298767089844,-60.86899948120117,-62.34560012817383,-62.849998474121094,"D8:90:E8:29:AD:3F_sams_p11"
-67.22090148925781,-64.14869689941406,-66.28739929199219,-63.5077018737793,-61.2599983215332,-54,"DE:65:B8:F4:54:82"
-61.02337646484375,-52.03984832763672,-58.72035217285156,-60.71965026855469,-67.53514862060547,-69.51502227783203,"F0:25:B7:D0:2E:97"
-81.44444274902344,-65.97618865966797,-75.23809814453125,-78.54545593261719,-73.59259033203125,-76.69047546386719,"00:25:00:4A:D9:5C"
-75.19330596923828,-76.46188354492188,-76.20895385742188,-76.08558654785156,-83.5762710571289,-76.5,"14:A5:1A:E8:4B:1B"
-67.3457202911377,-64.3000717163086,-76.4375,-70.93452453613281,-72.58158874511719,-82.63684463500977,"28:56:5A:A0:47:E9"
-67.4916820526123,-61.939244747161865,-68.52187983194987,-58.463833400181365,-64.96208635965984,-63.02117029825846,"30:07:4D:80:2A:85"
-64.58887608846028,-42.79844093322754,-66.03030395507812,-56.11458778381348,-71.41929117838542,-66.64196014404297,"40:40:A7:AE:DE:17"
-65.16487216949463,-58.26128101348877,-63.877498626708984,-63.084058125813804,-57.81637191772461,-65.07347869873047,"54:26:96:DB:9C:25"
