mac address, timestamp, rasp, echo_time, rssi, lq, tpl
88:C9:D0:1F:3E:48,11:08:36.768,1,49.79,-14,12,255
88:C9:D0:1F:3E:48,11:08:24.519,1,19.33,-17,12,255
88:C9:D0:1F:3E:48,11:08:49.072,1,48.66,-17,12,79
88:C9:D0:1F:3E:48,11:10:36.849,1,52.39,-18,12,255
88:C9:D0:1F:3E:48,11:13:33.923,1,83.65,-15,12,95
88:C9:D0:1F:3E:48,11:09:21.344,1,66.03,-17,12,62
88:C9:D0:1F:3E:48,11:09:46.039,1,8.67,-18,12,69
88:C9:D0:1F:3E:48,11:11:39.255,1,84.67,-15,12,255
88:C9:D0:1F:3E:48,11:10:29.166,1,93.57,-16,12,255
88:C9:D0:1F:3E:48,11:10:43.411,1,191.16,-16,12,255
88:C9:D0:1F:3E:48,11:09:56.063,1,207.30,-18,12,55
88:C9:D0:1F:3E:48,11:12:30.143,1,18.56,-18,12,84
88:C9:D0:1F:3E:48,11:12:59.877,1,11.04,-18,12,49
88:C9:D0:1F:3E:48,11:11:19.196,1,12.43,-19,12,87
88:C9:D0:1F:3E:48,11:10:01.490,1,154.88,-15,12,82
88:C9:D0:1F:3E:48,11:09:26.999,1,133.50,-15,12,72
88:C9:D0:1F:3E:48,11:12:37.937,1,182.26,-22,12,62
88:C9:D0:1F:3E:48,11:12:32.200,1,48.62,-23,12,84
88:C9:D0:1F:3E:48,11:12:22.596,1,928.66,-25,12,94
88:C9:D0:1F:3E:48,11:10:32.440,1,206.09,-16,12,255
88:C9:D0:1F:3E:48,11:13:12.099,1,187.36,-20,12,84
88:C9:D0:1F:3E:48,11:11:30.173,1,312.36,-18,12,255
88:C9:D0:1F:3E:48,11:13:19.714,1,8.60,-21,12,255
88:C9:D0:1F:3E:48,11:10:48.933,1,92.39,-16,12,255
88:C9:D0:1F:3E:48,11:13:50.692,1,194.86,-17,12,84
88:C9:D0:1F:3E:48,11:13:29.426,1,79.86,-16,12,87
88:C9:D0:1F:3E:48,11:09:14.881,1,47.35,-19,12,69
88:C9:D0:1F:3E:48,11:13:45.928,1,77.80,-17,12,94
88:C9:D0:1F:3E:48,11:11:09.624,1,91.16,-19,12,255
88:C9:D0:1F:3E:48,11:10:20.355,1,13.56,-22,12,255
88:C9:D0:1F:3E:48,11:11:58.235,1,88.64,-17,12,87
88:C9:D0:1F:3E:48,11:10:53.351,1,49.84,-14,12,255
88:C9:D0:1F:3E:48,11:09:11.611,1,88.49,-26,12,255
88:C9:D0:1F:3E:48,11:11:40.335,1,79.94,-15,12,255
