mac address, rasp, RX, timestamp, SN
DC:A9:04:4F:D9:35,1,-66,11:35:54.197,1363
DC:A9:04:4F:D9:35,1,-66,11:35:55.187,1421
DC:A9:04:4F:D9:35,1,-66,11:35:55.301,1425
DC:A9:04:4F:D9:35,1,-66,11:35:55.639,1431
DC:A9:04:4F:D9:35,1,-67,11:35:56.176,1471
DC:A9:04:4F:D9:35,1,-66,11:35:56.392,1477
DC:A9:04:4F:D9:35,1,-65,11:35:56.852,1489
DC:A9:04:4F:D9:35,1,-66,11:35:57.891,1516
DC:A9:04:4F:D9:35,1,-67,11:35:59.773,1648
DC:A9:04:4F:D9:35,1,-66,11:36:01.717,1774
DC:A9:04:4F:D9:35,1,-67,11:36:01.821,1784
DC:A9:04:4F:D9:35,1,-67,11:36:01.924,1785
DC:A9:04:4F:D9:35,1,-68,11:36:02.790,1788
DC:A9:04:4F:D9:35,1,-66,11:36:03.607,1890
DC:A9:04:4F:D9:35,1,-65,11:36:05.066,1954
DC:A9:04:4F:D9:35,1,-67,11:36:06.293,2094
DC:A9:04:4F:D9:35,1,-66,11:36:06.431,2095
DC:A9:04:4F:D9:35,1,-67,11:36:08.218,2219
DC:A9:04:4F:D9:35,1,-67,11:36:08.575,2240
DC:A9:04:4F:D9:35,1,-66,11:36:08.692,2242
DC:A9:04:4F:D9:35,1,-67,11:36:08.920,2246
DC:A9:04:4F:D9:35,1,-67,11:36:09.035,2254
DC:A9:04:4F:D9:35,1,-66,11:36:09.705,2281
DC:A9:04:4F:D9:35,1,-67,11:36:10.373,2298
DC:A9:04:4F:D9:35,1,-66,11:36:10.896,2333
DC:A9:04:4F:D9:35,1,-66,11:36:11.001,2344
DC:A9:04:4F:D9:35,1,-66,11:36:11.314,2352
DC:A9:04:4F:D9:35,1,-66,11:36:11.418,2353
DC:A9:04:4F:D9:35,1,-67,11:36:11.861,2385
DC:A9:04:4F:D9:35,1,-66,11:36:13.317,2401
DC:A9:04:4F:D9:35,1,-67,11:36:13.421,2407
DC:A9:04:4F:D9:35,1,-66,11:36:13.534,2414
DC:A9:04:4F:D9:35,1,-66,11:36:15.492,2438
DC:A9:04:4F:D9:35,1,-66,11:36:15.592,2442
DC:A9:04:4F:D9:35,1,-66,11:36:15.803,2447
DC:A9:04:4F:D9:35,1,-66,11:36:15.905,2453
DC:A9:04:4F:D9:35,1,-68,11:36:16.009,2469
DC:A9:04:4F:D9:35,1,-67,11:36:16.129,2471
DC:A9:04:4F:D9:35,1,-66,11:36:16.232,2484
DC:A9:04:4F:D9:35,1,-66,11:36:16.336,2493
DC:A9:04:4F:D9:35,1,-66,11:36:16.752,2520
DC:A9:04:4F:D9:35,1,-66,11:36:17.229,2550
DC:A9:04:4F:D9:35,1,-67,11:36:19.511,2675
DC:A9:04:4F:D9:35,1,-67,11:36:19.627,2677
DC:A9:04:4F:D9:35,1,-66,11:36:19.729,2693
DC:A9:04:4F:D9:35,1,-66,11:36:19.844,2703
DC:A9:04:4F:D9:35,1,-66,11:36:27.390,2777
DC:A9:04:4F:D9:35,1,-66,11:36:27.503,2792
DC:A9:04:4F:D9:35,1,-67,11:36:27.619,2793
DC:A9:04:4F:D9:35,1,-74,11:36:28.861,2813
DC:A9:04:4F:D9:35,1,-78,11:36:28.967,2820
DC:A9:04:4F:D9:35,1,-68,11:36:30.029,2842
DC:A9:04:4F:D9:35,1,-67,11:36:40.764,2884
DC:A9:04:4F:D9:35,1,-66,11:36:40.875,2896
DC:A9:04:4F:D9:35,1,-67,11:36:40.990,2898
DC:A9:04:4F:D9:35,1,-66,11:36:43.304,2982
DC:A9:04:4F:D9:35,1,-67,11:36:46.479,3000
DC:A9:04:4F:D9:35,1,-66,11:36:46.587,3004
DC:A9:04:4F:D9:35,1,-67,11:36:55.951,3184
DC:A9:04:4F:D9:35,1,-68,11:36:57.298,3199
DC:A9:04:4F:D9:35,1,-67,11:36:57.415,3212
DC:A9:04:4F:D9:35,1,-69,11:37:02.544,3231
DC:A9:04:4F:D9:35,1,-68,11:37:03.184,3258
DC:A9:04:4F:D9:35,1,-72,11:37:18.914,3392
DC:A9:04:4F:D9:35,1,-71,11:37:19.027,3396
DC:A9:04:4F:D9:35,1,-72,11:37:19.653,3430
DC:A9:04:4F:D9:35,1,-73,11:37:19.756,3439
84:11:9E:FD:16:B3,1,-1,11:35:05.423,0
98:01:A7:B6:B2:BD,1,-65,11:35:39.868,222
C4:43:8F:B3:0A:F7,1,-84,11:31:39.319,1501
C4:43:8F:B3:0A:F7,1,-80,11:32:39.119,1504
C4:43:8F:B3:0A:F7,1,-83,11:34:12.276,1507
C4:43:8F:B3:0A:F7,1,-83,11:36:04.733,1510
C4:43:8F:B3:0A:F7,1,-84,11:37:06.132,1512
70:F1:A1:93:7A:4A,1,-1,11:35:17.997,0
34:97:F6:B8:E7:E3,1,-59,11:31:58.377,255
34:97:F6:B8:E7:E3,1,-91,11:32:47.153,1084
34:97:F6:B8:E7:E3,1,-90,11:34:49.172,1131
34:97:F6:B8:E7:E3,1,-89,11:36:46.242,1201
34:97:F6:B8:E7:E3,1,-89,11:36:50.309,1234
D6:34:F1:1C:72:94,1,-87,11:32:03.163,3259
D6:34:F1:1C:72:94,1,-88,11:32:58.455,3346
D6:34:F1:1C:72:94,1,-89,11:33:31.398,3368
D6:34:F1:1C:72:94,1,-89,11:34:04.219,3390
D6:34:F1:1C:72:94,1,-89,11:37:09.997,3434
50:68:0A:FC:02:11,1,-83,11:32:17.077,90
50:68:0A:FC:02:11,1,-84,11:32:17.199,94
50:68:0A:FC:02:11,1,-86,11:33:17.062,260
