"rasp1","rasp2","rasp3","rasp4","location"
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-58,-84,-65,1.2
-72,-58,-84,-86,1.2
-72,-57,-84,-65,1.2
-72,-57,-84,-86,1.2
-72,-58,-86,-84,1.2
-72,-58,-82,-84,1.2
-72,-58,-86,-87,1.2
-72,-58,-82,-87,1.2
-72,-58,-86,-65,1.2
-72,-58,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-72,-57,-86,-84,1.2
-72,-57,-82,-84,1.2
-72,-57,-86,-87,1.2
-72,-57,-82,-87,1.2
-72,-57,-86,-65,1.2
-72,-57,-82,-65,1.2
-71,-57,-85,-65,1.2
-71,-57,-84,-65,1.2
-71,-57,-85,-89,1.2
-71,-57,-84,-89,1.2
-71,-57,-85,-89,1.2
-71,-57,-84,-89,1.2
-71,-57,-85,-65,1.2
-71,-57,-84,-65,1.2
-71,-57,-85,-89,1.2
-71,-57,-84,-89,1.2
-71,-57,-85,-89,1.2
-71,-57,-84,-89,1.2
-71,-56,-85,-65,1.2
-71,-56,-84,-65,1.2
-71,-56,-85,-89,1.2
-71,-56,-84,-89,1.2
-71,-56,-85,-89,1.2
-71,-56,-84,-89,1.2
-73,-67,-84,-66,1.2
-73,-67,-84,-85,1.2
-73,-57,-84,-66,1.2
-73,-57,-84,-85,1.2
-73,-58,-84,-66,1.2
-73,-58,-84,-85,1.2
-72,-64,-87,-89,1.2
-72,-64,-84,-89,1.2
-72,-64,-87,-65,1.2
-72,-64,-84,-65,1.2
-72,-64,-87,-85,1.2
