"timestamp","rssi","echo_time",1
"07:22:29",-6,11.07,3
"07:36:21",-13,11.07,3
"07:31:48",-16,11.07,3
"01:35:31",-23,11.07,1
"04:08:26",-17,11.07,2
"07:17:25",-19,11.07,3
"00:57:57",-22,11.08,1
"04:15:58",-28,11.08,2
"00:35:02",-23,11.08,1
"00:19:19",-21,11.08,1
"01:18:36",-19,11.08,1
"07:02:45",-11,11.08,3
"03:22:33",-21,11.08,2
"03:59:34",-21,11.08,2
"03:48:42",-19,11.09,2
"00:46:46",-20,11.09,1
"07:11:43",-19,11.09,3
"07:13:46",-19,11.09,3
"04:14:35",-23,11.09,2
"06:19:10",-20,11.09,3
"04:10:26",-21,11.09,2
"06:38:15",-23,11.09,3
"06:19:52",-24,11.09,3
"07:35:11",-18,11.09,3
"03:23:32",-22,11.09,2
"01:30:58",-22,11.1,1
"06:45:27",-10,11.1,3
"06:25:59",-20,11.1,3
"06:27:40",-22,11.1,3
"03:54:54",-16,11.1,2
"03:35:34",-22,11.1,2
"07:37:17",-11,11.1,3
"00:33:19",-23,11.1,1
"03:37:46",-19,11.1,2
"00:07:57",-20,11.1,1
"06:03:31",-23,11.11,3
"07:35:23",-13,11.11,3
"07:33:48",-13,11.11,3
"03:38:41",-19,11.11,2
"03:57:11",-20,11.11,2
"04:28:39",-20,11.11,2
"06:18:18",-21,11.11,3
"00:53:05",-21,11.12,1
"03:31:57",-19,11.12,2
"03:27:22",-19,11.12,2
"04:04:22",-20,11.12,2
"06:44:55",-18,11.12,3
"03:52:23",-15,11.12,2
"00:14:50",-22,11.12,1
"03:41:04",-19,11.12,2
"07:11:27",-20,11.12,3
"03:03:36",-23,11.12,2
"07:22:40",-20,11.13,3
"04:22:59",-22,11.13,2
"04:30:17",-19,11.13,2
"04:05:16",-21,11.13,2
"06:17:36",-22,11.14,3
"07:13:56",-7,11.15,3
"01:34:19",-23,11.15,1
"00:10:14",-24,11.15,1
"04:09:29",-20,11.16,2
"01:39:02",-20,11.16,1
"01:29:03",-19,11.17,1
"06:19:49",-22,11.17,3
"04:06:02",-21,11.17,2
"03:32:56",-20,11.17,2
"07:12:50",-14,11.17,3
"03:24:32",-23,11.18,2
"06:46:33",-12,11.22,3
"04:26:45",-21,11.37,2
"03:10:46",-20,11.78,2
"00:26:01",-23,11.85,1
"03:04:54",-22,11.86,2
"03:06:01",-23,11.9,2
"03:12:42",-18,11.92,2
"03:06:52",-21,11.93,2
"03:13:37",-21,12.01,2
"07:23:41",-5,12.02,3
"06:38:02",-21,12.17,3
"07:33:02",-7,12.18,3
"00:35:53",-18,12.19,1
"06:40:46",-21,12.21,3
"03:57:32",-21,12.23,2
"01:29:19",-7,12.25,1
"00:49:08",-19,12.25,1
"01:22:21",-19,12.25,1
"06:34:22",-20,12.25,3
"00:28:36",-22,12.26,1
"03:32:13",-19,12.26,2
"07:22:51",-18,12.26,3
"04:28:05",-21,12.26,2
"06:07:05",-19,12.26,3
"03:15:24",-21,12.28,2
"00:09:45",-14,12.28,1
"01:01:14",-23,12.28,1
"04:21:17",-15,12.29,2
"03:49:56",-20,12.29,2
"03:35:31",-21,12.29,2
"03:15:39",-20,12.29,2
"00:15:21",-19,12.29,1
"03:43:53",-21,12.3,2
"00:47:47",-21,12.3,1
"01:27:59",-23,12.3,1
"01:30:17",-22,12.31,1
"04:31:52",-16,12.31,2
"03:22:55",-23,12.32,2
"03:31:13",-21,12.32,2
"04:02:44",-21,12.32,2
"03:42:01",-21,12.32,2
"03:24:57",-20,12.32,2
"04:30:55",-17,12.32,2
"04:27:28",-20,12.32,2
"00:41:43",-22,12.32,1
"04:33:29",-23,12.33,2
"03:53:10",-20,12.33,2
"01:15:39",-22,12.33,1
"01:22:15",-20,12.33,1
"01:31:57",-23,12.34,1
"07:03:48",-16,12.34,3
"07:11:14",-20,12.34,3
"07:18:24",-20,12.34,3
"06:20:52",-17,12.34,3
"06:08:17",-23,12.34,3
"07:32:54",-14,12.35,3
"04:19:37",-18,12.35,2
"03:15:05",-21,12.35,2
"06:26:10",-20,12.35,3
"03:14:32",-22,12.35,2
"03:18:47",-19,12.36,2
"03:25:25",-23,12.36,2
"03:26:37",-19,12.36,2
"04:20:56",-19,12.36,2
"00:31:02",-24,12.36,1
"03:54:46",-22,12.37,2
"06:58:01",-13,12.37,3
"00:21:56",-22,12.37,1
"04:19:13",-26,12.38,2
"03:35:30",-18,12.39,2
"06:11:27",-20,12.39,3
"04:29:40",-20,12.4,2
"03:24:44",-21,12.43,2
"03:38:10",-22,12.5,2
"06:28:24",-25,12.54,3
"07:35:05",-17,12.56,3
"06:44:03",-15,12.56,3
"00:47:51",-21,12.79,1
"04:21:20",-24,12.87,2
"00:00:36",-23,12.93,1
"06:36:40",-21,12.95,3
"03:02:28",-22,13.05,2
"03:06:41",-22,13.07,2
"03:10:20",-25,13.09,2
"03:06:55",-24,13.19,2
"04:10:03",-20,13.33,2
"07:00:50",-5,13.44,3
"01:24:44",-21,13.45,1
"04:20:44",-18,13.47,2
"01:05:13",-23,13.49,1
"07:38:21",-6,13.49,3
"06:20:56",-17,13.5,3
"07:31:06",-6,13.5,3
"03:57:26",-21,13.51,2
"03:51:45",-23,13.52,2
"07:02:00",-20,13.52,3
"06:36:59",-20,13.52,3
"00:31:15",-21,13.52,1
"01:01:02",-23,13.52,1
"00:28:31",-22,13.53,1
"06:26:05",-17,13.53,3
"00:03:53",-22,13.53,1
"06:34:46",-20,13.53,3
"03:55:33",-18,13.54,2
"04:24:16",-17,13.54,2
"00:50:40",-21,13.54,1
"01:19:25",-23,13.54,1
"06:17:33",-18,13.54,3
"06:39:38",-21,13.54,3
"01:23:33",-19,13.55,1
"06:57:09",-15,13.55,3
"07:19:58",-8,13.55,3
"00:52:57",-24,13.55,1
"00:23:42",-19,13.55,1
"06:07:23",-26,13.55,3
"06:17:17",-21,13.55,3
"03:21:26",-21,13.56,2
"01:18:39",-23,13.56,1
"01:02:47",-20,13.56,1
"01:27:49",-21,13.56,1
"03:36:10",-22,13.56,2
"06:07:30",-22,13.56,3
"03:52:30",-21,13.56,2
"06:55:17",-14,13.56,3
"03:46:06",-22,13.56,2
"03:14:40",-20,13.56,2
"06:14:12",-20,13.56,3
"00:23:02",-18,13.56,1
"06:15:34",-17,13.56,3
"04:25:58",-15,13.56,2
"04:37:33",-21,13.56,2
"03:17:58",-22,13.56,2
"06:13:38",-21,13.56,3
"01:39:03",-6,13.56,1
"07:13:20",-14,13.57,3
"03:15:47",-22,13.57,2
"03:54:09",-23,13.57,2
"01:22:22",-22,13.57,1
"04:27:18",-17,13.57,2
"04:12:06",-19,13.57,2
"06:24:47",-16,13.57,3
"07:32:48",-13,13.57,3
"00:49:35",-20,13.57,1
"00:57:47",-16,13.57,1
"06:16:17",-16,13.57,3
"04:33:33",-21,13.57,2
"06:17:05",-19,13.57,3
"00:31:00",-22,13.57,1
"00:09:39",-22,13.57,1
"03:55:31",-20,13.57,2
"06:01:34",-25,13.58,3
"06:14:18",-20,13.58,3
"03:38:42",-20,13.58,2
"01:31:12",-22,13.58,1
"07:22:35",-14,13.58,3
"00:01:27",-20,13.58,1
"06:15:22",-21,13.58,3
"07:26:41",-14,13.58,3
"06:39:35",-20,13.58,3
"00:44:40",-22,13.58,1
"00:42:28",-20,13.59,1
"06:28:34",-21,13.59,3
"04:17:47",-22,13.59,2
"00:17:48",-22,13.59,1
"06:26:22",-20,13.59,3
"04:25:43",-20,13.59,2
"04:37:52",-23,13.59,2
"01:03:53",-17,13.59,1
"06:15:13",-22,13.59,3
"01:35:18",-23,13.59,1
"07:21:13",-7,13.6,3
"03:15:08",-18,13.6,2
"04:02:04",-18,13.6,2
"03:30:16",-19,13.6,2
"03:26:40",-23,13.6,2
"06:38:46",-22,13.6,3
"07:03:14",-13,13.6,3
"04:28:59",-18,13.6,2
"00:09:19",-21,13.6,1
"07:38:38",-14,13.6,3
"06:20:51",-21,13.6,3
"01:22:48",-22,13.6,1
"00:18:44",-22,13.6,1
"00:30:51",-22,13.61,1
"04:21:30",-20,13.61,2
"00:48:37",-20,13.61,1
"04:09:55",-23,13.61,2
"04:24:08",-16,13.61,2
"07:06:03",-15,13.61,3
"06:13:46",-20,13.61,3
"06:16:24",-22,13.61,3
"01:21:13",-23,13.61,1
"00:46:45",-22,13.61,1
"07:35:54",-17,13.61,3
"01:36:20",-21,13.61,1
"06:08:06",-18,13.61,3
"01:37:57",-20,13.61,1
"06:33:01",-23,13.61,3
"06:04:26",-22,13.61,3
"03:34:43",-18,13.62,2
"00:07:03",-21,13.62,1
"00:50:53",-20,13.62,1
"04:08:36",-22,13.62,2
"06:34:34",-16,13.62,3
"00:52:58",-20,13.62,1
"01:15:38",-22,13.62,1
"06:33:26",-23,13.62,3
"03:28:07",-22,13.62,2
"06:32:49",-24,13.62,3
"07:16:39",-7,13.62,3
"06:13:39",-17,13.62,3
"01:06:44",-22,13.62,1
"06:15:33",-18,13.63,3
"03:21:29",-23,13.63,2
"00:06:11",-24,13.63,1
"00:27:36",-21,13.63,1
"06:36:58",-22,13.63,3
"06:24:43",-19,13.63,3
"03:30:38",-20,13.63,2
"06:18:47",-22,13.63,3
"00:09:16",-18,13.63,1
"04:02:23",-23,13.63,2
"03:40:46",-20,13.64,2
"03:45:20",-22,13.64,2
"03:34:31",-21,13.64,2
"01:30:53",-20,13.64,1
"06:36:54",-23,13.64,3
"06:34:23",-20,13.64,3
"06:57:32",-18,13.64,3
"03:16:54",-22,13.65,2
"04:10:19",-21,13.65,2
"06:18:27",-19,13.65,3
"03:31:25",-20,13.65,2
"03:16:20",-22,13.65,2
"06:00:44",-21,13.65,3
"03:46:19",-22,13.65,2
"03:26:14",-21,13.66,2
"03:18:36",-21,13.66,2
"01:32:55",-20,13.66,1
"04:26:11",-17,13.66,2
"06:12:01",-16,13.66,3
"01:11:26",-22,13.67,1
"00:30:13",-24,13.69,1
"06:28:13",-22,13.7,3
"03:53:09",-23,13.7,2
"01:16:54",-23,13.73,1
"01:27:46",-21,13.85,1
"07:25:50",-13,13.88,3
"03:30:19",-19,13.88,2
"06:52:18",-14,13.93,3
"00:26:26",-20,14.02,1
"07:07:17",-18,14.13,3
"07:36:54",-16,14.24,3
"03:11:46",-19,14.27,2
"03:07:17",-22,14.3,2
"03:07:54",-17,14.31,2
"03:08:55",-23,14.31,2
"03:05:11",-19,14.31,2
"03:30:39",-20,14.32,2
"03:11:22",-22,14.34,2
"01:09:28",-8,14.36,1
"03:05:16",-20,14.36,2
"01:04:52",-22,14.38,1
"06:31:03",-20,14.39,3
"01:31:36",-21,14.54,1
"03:59:59",-20,14.6,2
"01:13:58",-23,14.68,1
"00:40:00",-19,14.69,1
"06:15:53",-19,14.7,3
"01:03:09",-18,14.71,1
"00:42:41",-19,14.73,1
"03:17:16",-19,14.74,2
"06:12:03",-21,14.74,3
"03:14:15",-20,14.74,2
"03:20:06",-20,14.74,2
"06:44:42",-15,14.75,3
"04:31:42",-19,14.75,2
"01:38:44",-23,14.76,1
"03:42:26",-21,14.76,2
"06:21:04",-20,14.76,3
"03:14:58",-21,14.77,2
"06:39:29",-22,14.77,3
"06:46:00",-16,14.77,3
"00:05:20",-21,14.77,1
"07:29:58",-18,14.78,3
