"rssi","echo_time","01"
-33,124.82,"09"
-35,94.89,"09"
-33,141.01,"09"
-35,63.6,"09"
-35,22.29,"09"
-34,142.4,"09"
-32,117.36,"09"
-35,112.31,"09"
-33,132.43,"09"
-35,129.83,"09"
-34,33.59,"09"
-33,206.13,"09"
-34,140.7,"09"
-34,134.76,"09"
-35,192.31,"09"
-33,102.36,"09"
-34,41.1,"09"
-35,179.88,"09"
-34,185.13,"09"
-35,147.31,"09"
-34,139.8,"09"
-34,122.32,"09"
-35,136.02,"09"
-35,128.6,"09"
-35,33.58,"09"
-33,14.88,"09"
-34,59.9,"09"
-34,141.07,"09"
-33,9.9,"09"
-34,129.82,"09"
-35,71.13,"09"
-36,208.63,"09"
-34,128.6,"09"
-35,162.3,"09"
-35,137.34,"09"
-34,133.65,"09"
-34,122.26,"09"
-34,16.55,"09"
-34,29.92,"09"
-36,21.02,"09"
-35,123.57,"09"
-32,107.31,"09"
-35,102.28,"09"
-35,48.63,"09"
-35,146.15,"09"
-34,128.57,"09"
-34,121.07,"09"
-34,39.88,"09"
-33,137.27,"09"
-35,17.36,"09"
-35,129.82,"09"
-36,11.07,"09"
-37,341.09,"09"
-33,137.35,"09"
-34,42.31,"09"
-34,131.11,"09"
-39,131.07,"09"
-32,116.1,"09"
-34,132.3,"09"
-38,108.57,"09"
-34,96.06,"09"
-35,127.25,"09"
-35,322.35,"09"
-33,17.35,"09"
-35,132.44,"09"
-36,98.52,"09"
-34,23.58,"09"
-36,204.86,"09"
-34,130.97,"09"
-33,174.75,"09"
-34,52.4,"09"
-37,102.4,"09"
-35,19.9,"09"
-35,114.83,"09"
-34,178.51,"09"
-33,137.3,"09"
-35,166.04,"09"
-36,119.84,"09"
-35,127.29,"09"
-33,178.56,"09"
-33,21.09,"09"
-33,194.88,"09"
-36,177.34,"09"
-35,18.58,"09"
-36,132.32,"09"
-34,201.55,"09"
-35,17.32,"09"
-36,137.3,"09"
-34,77.27,"09"
-34,244.87,"09"
-34,9.85,"09"
-36,245.01,"09"
-35,21.14,"09"
-35,16.06,"09"
-34,212.33,"09"
-35,143.53,"09"
-38,203.53,"09"
-34,162.31,"09"
-36,114.8,"09"
-34,19.77,"09"
-35,139.91,"09"
-35,109.8,"09"
-36,253.5,"09"
-37,137.29,"09"
-34,139.82,"09"
-35,207.34,"09"
-35,183.56,"09"
-35,79.85,"09"
-35,13.68,"09"
-35,243.63,"09"
-35,146.01,"09"
-32,97.34,"09"
-36,29.83,"09"
-34,14.78,"09"
-34,13.53,"09"
-33,207.34,"09"
-35,196.88,"09"
-35,211.1,"09"
-34,226.18,"09"
-35,83.59,"09"
-34,129.83,"09"
-35,173.61,"09"
-33,12.32,"09"
-34,146.04,"09"
-33,126.14,"09"
-34,116.15,"09"
-35,148.55,"09"
-34,193.53,"09"
-33,106.04,"09"
-35,194.93,"09"
-37,118.58,"09"
-37,139.77,"09"
-35,142.34,"09"
-33,18.57,"09"
-36,201.17,"09"
-35,131.09,"09"
-34,122.33,"09"
-34,22.33,"09"
-34,148.53,"09"
-34,109.82,"09"
-37,37.28,"09"
-35,43.55,"09"
-35,21.09,"09"
-36,21.05,"09"
-34,304.81,"09"
-34,207.36,"09"
-34,48.61,"09"
-35,29.9,"09"
-33,134.88,"09"
-35,149.95,"09"
-33,181.03,"09"
-33,149.86,"09"
-34,137.36,"09"
-34,213.56,"09"
-33,216.09,"09"
-34,96.15,"09"
-35,102.26,"09"
