"timestamp","rssi","echo_time"
"19:28:58",-28,58.1
"19:28:59",-25,113.64
"19:29:00",-26,197.16
"19:29:01",-26,332.33
"19:29:03",-29,374.82
"19:29:04",-27,342.3
"19:29:05",-27,141.03
"19:29:06",-25,394.88
"19:29:08",-31,247.33
"19:29:09",-23,74.78
"19:29:10",-32,166.04
"19:29:11",-27,127.31
"19:29:13",-29,482.35
"19:29:14",-33,223.49
"19:29:15",-30,198.61
"19:29:16",-27,141.05
"19:29:17",-22,288.48
"19:29:19",-29,223.58
"19:29:20",-32,233.58
"19:29:21",-31,149.75
"19:29:22",-28,279.82
"19:29:23",-28,138.59
"19:29:25",-32,234.79
"19:29:26",-26,267.34
"19:29:27",-29,277.24
"19:29:28",-29,183.61
"19:29:30",-31,231.09
"19:29:31",-33,332.38
"19:29:32",-30,484.75
"19:29:34",-33,139.81
"19:29:35",-31,321.11
"19:29:36",-28,448.53
"19:29:38",-30,499.81
"19:29:39",-31,429.8
"19:29:40",-26,112.35
"19:29:42",-31,297.27
"19:29:43",-27,316.04
"19:29:45",-26,458.6
"19:29:46",-30,168.62
"19:29:47",-28,448.51
"19:29:48",-30,349.82
"19:29:50",-33,232.35
"19:29:51",-26,274.83
"19:29:52",-29,447.29
"19:29:54",-23,204.83
"19:29:55",-24,206
"19:29:56",-24,461.06
"19:29:58",-29,284.78
"19:29:59",-31,252.25
"19:30:00",-22,204.91
"19:30:01",-21,54.79
"19:30:02",-21,289.81
"19:30:04",-23,238.56
"19:30:05",-23,221.04
"19:30:06",-24,79.85
"19:30:07",-22,103.58
"19:30:08",-22,157.29
"19:30:09",-19,199.84
"19:30:10",-24,84.82
"19:30:12",-23,266.08
"19:30:13",-22,211.05
"19:30:14",-23,32.33
"19:30:15",-23,93.61
"19:30:16",-21,127.23
"19:30:17",-25,151.17
"19:30:19",-22,264.78
"19:30:20",-23,194.84
"19:30:21",-23,267.34
"19:30:22",-22,96.03
"19:30:23",-23,124.79
"19:30:24",-21,151.08
"19:30:26",-22,66.07
"19:30:27",-21,145.98
"19:30:28",-20,124.97
"19:30:29",-20,285.99
"19:30:31",-21,450.73
"19:30:32",-22,296.35
"19:30:33",-22,107.28
"19:30:34",-22,174.85
"19:30:35",-20,268.61
"19:30:37",-23,232.29
"19:30:38",-20,124.82
"19:30:39",-21,94.85
"19:30:40",-21,348.53
"19:30:41",-26,188.54
"19:30:43",-22,157.36
"19:30:44",-22,8.48
"19:30:45",-21,16.1
"19:30:46",-22,207.37
"19:30:47",-20,217.32
"19:30:48",-20,122.33
"19:30:49",-22,191.04
"19:30:50",-22,37.33
"19:30:51",-21,128.62
"19:30:53",-21,123.52
"19:30:54",-23,127.32
"19:30:55",-23,213.57
"19:30:56",-24,109.8
"19:30:57",-23,219.79
"19:30:58",-21,192.35
"19:30:59",-23,28.51
"19:31:01",-21,304.58
"19:31:02",-22,221.31
"19:31:03",-23,67.32
"19:31:04",-23,69.89
"19:31:05",-20,141.01
"19:31:06",-22,219.91
"19:31:08",-21,262.27
"19:31:09",-25,287.32
"19:31:10",-24,298.53
"19:31:12",-22,243.57
"19:31:13",-22,186.07
"19:31:14",-19,107.36
"19:31:15",-23,117.38
"19:31:16",-20,242.31
"19:31:17",-22,194.82
"19:31:19",-19,262.32
"19:31:20",-20,17.27
"19:31:21",-23,236.08
"19:31:22",-22,286.11
"19:31:24",-20,266.04
"19:31:25",-22,209.49
"19:31:26",-20,57.65
"19:31:27",-23,98.58
"19:31:28",-26,104.82
"19:31:29",-30,166.11
"19:31:30",-19,92.29
"19:31:31",-23,263.6
"19:31:33",-28,589.8
"19:31:34",-30,258.56
"19:31:35",-24,97.42
"19:31:37",-26,241.02
"19:31:38",-27,197.32
"19:31:39",-26,121.04
"19:31:40",-32,323.59
