"rssi","rx","distance"
-7,-86,"04"
-8,-71,"04"
-8,-70,"04"
-8,-69,"04"
0,-73,"04"
0,-72,"04"
0,-74,"04"
0,-81,"04"
0,-76,"04"
-3,-71,"04"
-3,-73,"04"
-5,-70,"04"
-5,-65,"04"
-5,-71,"04"
-5,-69,"04"
-5,-72,"04"
-6,-64,"04"
-2,-64,"04"
-5,-64,"04"
-4,-73,"04"
-4,-71,"04"
-4,-77,"04"
0,-71,"05"
0,-68,"05"
0,-70,"05"
0,-69,"05"
0,-65,"05"
0,-66,"05"
0,-64,"05"
0,-72,"05"
0,-67,"05"
-2,-71,"05"
-2,-69,"05"
-2,-70,"05"
-1,-71,"05"
-1,-70,"05"
-1,-69,"05"
0,-74,"05"
-1,-73,"05"
-1,-67,"05"
-1,-68,"05"
-1,-82,"05"
-1,-60,"05"
-1,-81,"05"
-1,-72,"05"
-3,-65,"05"
-3,-67,"05"
-3,-66,"05"
-3,-71,"05"
-3,-74,"05"
-3,-70,"05"
-3,-69,"05"
-2,-68,"05"
-2,-67,"05"
-2,-64,"05"
-2,-65,"05"
-5,-64,"05"
-5,-66,"05"
-5,-70,"05"
-1,-65,"07"
-1,-66,"07"
-1,-69,"07"
-1,-71,"07"
0,-70,"07"
0,-69,"07"
0,-65,"07"
0,-66,"07"
0,-67,"07"
0,-71,"07"
-1,-70,"07"
-5,-70,"07"
-5,-67,"07"
-5,-69,"07"
-8,-68,"07"
-8,-70,"07"
-8,-80,"07"
-8,-71,"07"
0,-64,"07"
0,-68,"07"
0,-77,"07"
-5,-64,"07"
-5,-68,"07"
-5,-72,"07"
-5,-66,"07"
-5,-65,"07"
-5,-71,"07"
-2,-68,"07"
-2,-69,"07"
-2,-66,"07"
-2,-63,"07"
0,-63,"07"
0,-73,"07"
0,-72,"07"
0,-74,"07"
-3,-64,"07"
-3,-69,"07"
-3,-68,"07"
-3,-76,"07"
-3,-79,"07"
-3,-70,"07"
-11,-73,"08"
0,-79,"08"
-4,-77,"08"
-4,-76,"08"
-4,-73,"08"
-4,-72,"08"
-4,-81,"08"
-4,-75,"08"
-4,-74,"08"
-8,-74,"08"
-8,-72,"08"
-8,-71,"08"
-8,-77,"08"
-2,-75,"08"
-2,-76,"08"
-2,-72,"08"
-2,-74,"08"
-2,-71,"08"
-2,-73,"08"
-5,-75,"08"
-5,-76,"08"
-7,-75,"08"
-7,-76,"08"
-3,-75,"08"
-3,-74,"08"
-3,-86,"08"
-3,-72,"08"
-3,-73,"08"
-3,-71,"08"
-3,-76,"08"
-3,-69,"08"
-3,-77,"08"
-5,-72,"08"
-5,-71,"08"
-5,-77,"08"
-5,-73,"08"
-5,-74,"08"
-1,-72,"08"
-1,-75,"08"
-1,-76,"08"
-1,-74,"08"
-4,-85,"08"
-11,-75,"08"
-11,-74,"08"
-11,-76,"08"
-11,-72,"08"
-3,-78,"08"
-11,-84,"08"
-11,-80,"08"
0,-76,"08"
0,-77,"08"
0,-86,"08"
0,-78,"08"
-9,-73,"08"
-9,-76,"08"
-9,-74,"08"
-9,-72,"08"
-6,-72,"08"
-6,-73,"08"
-1,-77,"08"
-1,-78,"08"
-1,-71,"08"
-1,-73,"08"
-7,-81,"08"
-7,-80,"08"
-7,-79,"08"
-7,-77,"08"
-7,-78,"08"
-5,-69,"08"
-5,-78,"08"
-8,-73,"08"
-6,-71,"08"
-6,-77,"08"
-6,-79,"08"
-11,-74,"09"
-5,-77,"09"
-5,-78,"09"
-8,-74,"09"
-8,-73,"09"
-8,-77,"09"
-8,-78,"09"
-7,-77,"09"
-7,-76,"09"
-7,-78,"09"
-7,-74,"09"
-8,-75,"09"
-8,-72,"09"
-9,-77,"09"
-9,-78,"09"
-11,-75,"09"
-6,-74,"09"
-6,-75,"09"
-6,-73,"09"
-6,-78,"09"
-6,-77,"09"
-8,-79,"09"
-8,-76,"09"
-10,-73,"09"
