"timestamp","rx","rssi","02"
"11:24:53",-64,-9,"02"
"11:24:53",-66,-9,"02"
"11:24:53",-67,-9,"02"
"11:24:55",-67,-9,"02"
"11:24:56",-65,-12,"02"
"11:24:56",-66,-12,"02"
"11:24:56",-72,-12,"02"
"11:24:56",-67,-12,"02"
"11:24:56",-68,-12,"02"
"11:24:56",-69,-12,"02"
"11:24:57",-67,-11,"02"
"11:24:57",-66,-11,"02"
"11:24:57",-65,-11,"02"
"11:24:57",-68,-11,"02"
"11:24:57",-84,-11,"02"
"11:24:57",-73,-11,"02"
"11:24:58",-76,-13,"02"
"11:24:58",-66,-13,"02"
"11:24:58",-64,-13,"02"
"11:24:58",-67,-13,"02"
"11:24:58",-75,-13,"02"
"11:24:58",-62,-13,"02"
"11:24:58",-68,-13,"02"
"11:24:59",-67,-15,"02"
"11:24:59",-66,-15,"02"
"11:24:59",-68,-15,"02"
"11:24:59",-63,-15,"02"
"11:24:59",-82,-15,"02"
"11:25:00",-67,-12,"02"
"11:25:00",-66,-12,"02"
"11:25:00",-72,-12,"02"
"11:25:00",-68,-12,"02"
"11:25:00",-81,-12,"02"
"11:25:02",-67,-22,"02"
"11:25:02",-66,-22,"02"
"11:25:02",-68,-22,"02"
"11:25:04",-62,-25,"02"
"11:25:04",-67,-25,"02"
"11:25:04",-64,-25,"02"
"11:25:04",-66,-25,"02"
"11:25:04",-65,-25,"02"
"11:25:04",-63,-25,"02"
"11:25:05",-65,-20,"02"
"11:25:05",-66,-20,"02"
"11:25:05",-80,-20,"02"
"11:25:06",-66,-12,"02"
"11:25:06",-65,-12,"02"
"11:25:06",-72,-12,"02"
"11:25:06",-67,-12,"02"
"11:25:06",-68,-12,"02"
